game_id,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_avg_market_value,home_nationalities,home_avg_age,home_total_minutes,home_total_goals,home_total_assists,home_total_yellow_cards,home_total_red_cards,away_avg_market_value,away_nationalities,away_avg_age,away_total_minutes,away_total_goals,away_total_assists,away_total_yellow_cards,away_total_red_cards,result
4408219,2024-09-27,1124.0,2698.0,0.0,0.0,635714.2857142857,4.0,27.506013493693164,914.0,0.0,0.0,1.0,0.0,1906666.6666666667,7.0,27.160939995436916,991.0,0.0,0.0,2.0,0.0,Draw
4408265,2024-12-08,16704.0,932.0,0.0,0.0,5533333.333333333,8.0,27.003239790098107,945.0,0.0,0.0,3.0,0.0,5028571.428571428,4.0,25.202112056321504,990.0,0.0,0.0,4.0,0.0,Draw
4408305,2025-03-01,16704.0,2696.0,1.0,1.0,5200000.0,8.0,27.12699064567648,990.0,1.0,1.0,1.0,0.0,1665625.0,6.0,27.262662559890487,992.0,1.0,1.0,0.0,0.0,Draw
4408485,2024-10-27,3719.0,121.0,3.0,4.0,1229166.6666666667,4.0,27.695642254163815,812.0,2.0,3.0,2.0,0.0,5340000.0,8.0,26.275336527492584,991.0,4.0,4.0,2.0,0.0,Away Win
4408857,2025-01-12,2441.0,3062.0,2.0,0.0,3812500.0,14.0,29.459958932238195,986.0,2.0,1.0,2.0,0.0,292307.6923076923,8.0,28.21671141999684,938.0,0.0,0.0,3.0,0.0,Home Win
4408885,2025-02-15,2441.0,3060.0,2.0,1.0,2593750.0,12.0,30.290554414784395,990.0,2.0,2.0,3.0,0.0,445000.0,7.0,26.781656399726216,990.0,1.0,1.0,3.0,0.0,Home Win
4408898,2025-02-23,3999.0,265.0,3.0,1.0,339285.71428571426,8.0,27.14500831133275,990.0,3.0,1.0,2.0,0.0,4350000.0,10.0,29.457049965776864,990.0,1.0,0.0,4.0,0.0,Home Win
4408909,2025-03-09,3060.0,265.0,1.0,1.0,491666.6666666667,11.0,26.913438284280176,990.0,1.0,1.0,3.0,0.0,5287500.0,11.0,28.2458932238193,990.0,1.0,1.0,3.0,0.0,Draw
4444778,2024-10-30,53646.0,3592.0,2.0,1.0,1073333.3333333333,3.0,25.338443988135978,901.0,2.0,2.0,3.0,0.0,657142.8571428572,6.0,24.570255206805516,900.0,1.0,1.0,0.0,0.0,Home Win
4445095,2024-11-06,2282.0,405.0,1.0,0.0,10300000.0,9.0,25.164681724845995,990.0,1.0,0.0,2.0,0.0,28433333.333333332,10.0,26.93844398813598,957.0,0.0,0.0,4.0,0.0,Home Win
4445121,2024-11-05,1082.0,506.0,1.0,1.0,17892857.14285714,11.0,24.580033245330988,990.0,1.0,1.0,1.0,0.0,28066666.666666668,9.0,24.21537759525439,990.0,1.0,1.0,1.0,0.0,Draw
4445168,2024-12-10,12321.0,31.0,0.0,1.0,7360000.0,6.0,28.201140771161306,990.0,0.0,0.0,3.0,0.0,48428571.428571425,9.0,27.544734526254036,990.0,1.0,1.0,2.0,0.0,Away Win
4445346,2024-09-26,12.0,621.0,1.0,1.0,14437500.0,10.0,26.372347707049965,990.0,1.0,1.0,2.0,0.0,15866666.666666666,2.0,27.350581793292267,960.0,1.0,1.0,4.0,0.0,Draw
4445347,2025-01-23,985.0,124.0,2.0,1.0,34250000.0,9.0,24.893052703627653,990.0,1.0,2.0,0.0,0.0,3475000.0,11.0,26.40246406570842,959.0,1.0,1.0,1.0,0.0,Home Win
4445405,2025-01-23,36.0,1041.0,0.0,0.0,10076923.076923076,9.0,29.06544516400779,982.0,0.0,0.0,4.0,0.0,12321428.57142857,9.0,27.162608780678596,900.0,0.0,0.0,5.0,0.0,Draw
4445422,2024-11-07,417.0,317.0,2.0,2.0,10566666.666666666,9.0,25.939676020990188,925.0,2.0,2.0,2.0,1.0,3346875.0,7.0,26.18429158110883,990.0,2.0,2.0,2.0,0.0,Draw
4448983,2024-09-25,31.0,379.0,5.0,1.0,35333333.333333336,12.0,26.37043121149897,990.0,5.0,3.0,1.0,0.0,20226666.666666668,11.0,29.03728040155145,976.0,0.0,0.0,3.0,0.0,Home Win
4468615,2024-10-30,762.0,631.0,2.0,0.0,32531250.0,6.0,26.041238877481177,991.0,1.0,1.0,4.0,0.0,31250000.0,7.0,24.644307551905086,990.0,0.0,0.0,2.0,0.0,Home Win
4485939,2024-12-04,82.0,533.0,3.0,0.0,11375000.0,10.0,25.300308008213552,990.0,3.0,3.0,2.0,0.0,7281250.0,10.0,26.194387405886378,990.0,0.0,0.0,2.0,0.0,Home Win
4489042,2024-12-15,206.0,678.0,4.0,2.0,3307692.3076923075,7.0,25.8505765281946,875.0,4.0,4.0,2.0,0.0,987500.0,7.0,27.95123203285421,990.0,2.0,2.0,4.0,0.0,Home Win
4513627,2025-02-25,46.0,398.0,2.0,0.0,23900000.0,11.0,29.440839607574723,964.0,2.0,1.0,2.0,0.0,13906250.0,9.0,26.65965092402464,990.0,0.0,0.0,5.0,0.0,Home Win
4540706,2025-02-04,13.0,3709.0,5.0,0.0,24362500.0,7.0,28.772073921971252,990.0,5.0,5.0,1.0,0.0,3650000.0,7.0,26.185978292754474,956.0,0.0,0.0,1.0,0.0,Home Win
4547636,2025-03-12,405.0,2282.0,3.0,0.0,32000000.0,9.0,27.556981519507186,990.0,3.0,3.0,0.0,0.0,9843750.0,11.0,25.884154688569474,917.0,0.0,0.0,1.0,1.0,Home Win
