game_id,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_avg_market_value,home_nationalities,home_avg_age,home_total_minutes,home_total_goals,home_total_assists,home_total_yellow_cards,home_total_red_cards,away_avg_market_value,away_nationalities,away_avg_age,away_total_minutes,away_total_goals,away_total_assists,away_total_yellow_cards,away_total_red_cards,result,win_rate_last5_home,win_rate_last5_away,goal_diff_pg_home,goal_diff_pg_away,season_ppg_home,season_ppg_away,rest_days_home,rest_days_away,squad_value_home,squad_value_away
4090255,2024-03-03,678.0,173.0,1.0,1.0,931250.0,5.0,27.17659137577002,990.0,1.0,0.0,0.0,0.0,737500.0,8.0,25.09993155373032,990.0,1.0,1.0,4.0,0.0,Draw,0.4,0.4,0.132,0.006,1.375,1.301,7.0,16.0,46600000.0,29750000.0
4092050,2023-07-23,1083.0,1124.0,2.0,1.0,2289285.714285714,3.0,25.6208076659822,990.0,2.0,1.0,2.0,0.0,489285.7142857143,2.0,29.96714579055441,990.0,1.0,1.0,3.0,0.0,Home Win,0.2,0.6,0.018,-0.491,1.408,1.036,56.0,50.0,76310000.0,21425000.0
4094755,2024-02-03,995.0,826.0,0.0,1.0,4106666.6666666665,7.0,27.101802418434865,990.0,0.0,0.0,2.0,0.0,10386666.666666666,9.0,26.21510381017568,990.0,1.0,1.0,2.0,0.0,Away Win,0.0,0.6,-0.226,0.136,1.226,1.52,20.0,6.0,171600000.0,167750000.0
4094872,2024-05-12,995.0,1082.0,1.0,2.0,3881250.0,8.0,27.247091033538677,990.0,1.0,0.0,4.0,0.0,17200000.0,11.0,26.389630390143736,993.0,2.0,2.0,2.0,0.0,Away Win,0.2,0.4,-0.243,0.265,1.221,1.578,22.0,14.0,171600000.0,355875000.0
4095242,2023-12-16,281.0,873.0,2.0,2.0,59000000.0,7.0,26.86105407255305,991.0,2.0,1.0,1.0,0.0,21266666.666666668,7.0,25.652566735112934,991.0,2.0,1.0,1.0,0.0,Draw,0.6,0.0,1.407,-0.241,2.178,1.213,13.0,13.0,1374875000.0,478285000.0
4095243,2023-12-16,762.0,931.0,3.0,0.0,24781250.0,8.0,27.38432580424367,990.0,3.0,2.0,0.0,0.0,16375000.0,14.0,28.34308692676249,922.0,0.0,0.0,2.0,1.0,Home Win,0.2,0.6,-0.241,-0.532,1.241,1.055,3.0,13.0,684800000.0,424200000.0
4095416,2024-05-15,985.0,762.0,3.0,2.0,33566666.666666664,10.0,26.69039470682181,991.0,3.0,2.0,3.0,0.0,30500000.0,6.0,27.930458590006843,990.0,2.0,1.0,3.0,0.0,Home Win,0.4,0.6,0.637,-0.203,1.861,1.261,3.0,11.0,770100000.0,684800000.0
4096163,2024-02-17,39.0,167.0,1.0,0.0,7633333.333333333,7.0,27.32740132329455,991.0,1.0,1.0,3.0,0.0,5731250.0,11.0,26.97142368240931,991.0,0.0,0.0,2.0,1.0,Home Win,0.0,0.2,-0.195,-0.327,1.255,1.166,10.0,14.0,184025000.0,166950000.0
4096185,2024-03-10,80.0,60.0,1.0,2.0,2778571.4285714286,8.0,28.92871809914931,990.0,1.0,1.0,3.0,0.0,7250000.0,7.0,27.817419575633128,991.0,2.0,2.0,7.0,0.0,Away Win,0.2,0.4,-0.43,-0.077,1.264,1.4,8.0,14.0,82175000.0,190575000.0
4096193,2024-03-15,3.0,23826.0,1.0,5.0,3368750.0,7.0,25.51283367556468,990.0,1.0,1.0,2.0,0.0,29218750.0,10.0,25.88261464750171,990.0,5.0,4.0,2.0,0.0,Away Win,0.0,0.6,-0.188,0.761,1.191,1.847,12.0,9.0,94725000.0,571450000.0
4096236,2024-04-20,3.0,105.0,0.0,2.0,3787500.0,5.0,26.1370636550308,990.0,0.0,0.0,0.0,0.0,1434375.0,8.0,27.70841889117043,990.0,2.0,0.0,1.0,0.0,Away Win,0.2,0.0,-0.2,-0.703,1.188,0.907,14.0,14.0,94725000.0,40075000.0
4096238,2024-04-28,18.0,89.0,0.0,0.0,8643750.0,9.0,25.486481861738536,990.0,0.0,0.0,2.0,0.0,5756250.0,10.0,28.135181382614647,990.0,0.0,0.0,2.0,0.0,Draw,0.2,0.2,0.291,-0.027,1.511,1.468,15.0,16.0,182575000.0,164935000.0
4096259,2024-05-12,27.0,82.0,2.0,0.0,25118750.0,11.0,25.055099247091032,991.0,2.0,2.0,0.0,0.0,10000000.0,11.0,25.016255989048595,990.0,0.0,0.0,2.0,0.0,Home Win,0.4,0.6,1.778,0.172,2.368,1.519,12.0,15.0,925775000.0,286675000.0
4096264,2024-05-18,533.0,27.0,4.0,2.0,7686666.666666667,8.0,27.52087611225188,991.0,4.0,3.0,3.0,0.0,27692307.69230769,8.0,26.412888959090196,990.0,2.0,2.0,1.0,0.0,Home Win,0.4,0.4,0.105,1.778,1.354,2.369,15.0,10.0,210350000.0,925775000.0
4096265,2024-05-18,24.0,23826.0,2.0,2.0,18906250.0,10.0,26.829226557152637,993.0,2.0,1.0,2.0,0.0,25857142.85714286,10.0,24.63740588637919,994.0,2.0,1.0,2.0,0.0,Draw,0.2,0.6,0.119,0.782,1.487,1.856,13.0,15.0,386935000.0,571450000.0
4097954,2023-10-08,385.0,317.0,0.0,3.0,1734375.0,14.0,25.97895277207392,981.0,0.0,0.0,2.0,1.0,4682812.5,9.0,24.58983572895277,990.0,3.0,2.0,2.0,0.0,Away Win,0.2,0.8,-0.584,0.268,1.111,1.515,22.0,14.0,52000000.0,102235000.0
4097957,2023-09-16,234.0,306.0,6.0,1.0,16781250.0,10.0,23.60763175906913,990.0,6.0,6.0,1.0,0.0,2131250.0,7.0,24.3023613963039,990.0,1.0,1.0,0.0,0.0,Home Win,0.4,0.6,0.923,-0.027,1.937,1.372,20.0,14.0,319925000.0,75800000.0
4097960,2023-09-16,385.0,724.0,3.0,1.0,1750000.0,13.0,26.355065023956197,991.0,3.0,3.0,1.0,0.0,576666.6666666666,6.0,22.94446725986767,990.0,1.0,1.0,0.0,0.0,Home Win,0.2,0.2,-0.567,-0.709,1.112,1.036,13.0,28.0,52000000.0,13350000.0
4097981,2023-09-27,317.0,499.0,1.0,0.0,5296428.571428572,7.0,25.27231837293439,990.0,1.0,1.0,1.0,0.0,1433928.5714285714,7.0,24.18363156350836,990.0,0.0,0.0,4.0,0.0,Home Win,0.4,0.2,0.264,0.368,1.508,1.559,10.0,3.0,102235000.0,34950000.0
4098076,2023-12-02,724.0,1269.0,0.0,5.0,675000.0,8.0,23.805783709787818,990.0,0.0,0.0,2.0,0.0,1120000.0,9.0,26.07328313940224,990.0,5.0,5.0,0.0,0.0,Away Win,0.0,0.2,-0.758,-0.203,0.985,1.26,20.0,20.0,13350000.0,50200000.0
4098085,2024-02-03,385.0,306.0,3.0,3.0,937500.0,13.0,27.17573579739904,990.0,3.0,1.0,1.0,0.0,2500000.0,9.0,25.2458932238193,991.0,3.0,2.0,2.0,0.0,Draw,0.6,0.0,-0.561,-0.042,1.141,1.359,21.0,15.0,52000000.0,75800000.0
4098100,2024-01-28,724.0,385.0,0.0,1.0,656666.6666666666,9.0,24.102578142824548,990.0,0.0,0.0,1.0,0.0,925000.0,14.0,27.78028747433265,990.0,1.0,1.0,1.0,0.0,Away Win,0.2,0.4,-0.803,-0.569,0.972,1.132,14.0,4.0,13350000.0,52000000.0
4098122,2024-04-03,306.0,317.0,3.0,3.0,2440625.0,11.0,24.82614647501711,990.0,3.0,1.0,1.0,0.0,4434375.0,8.0,25.296885694729635,990.0,3.0,1.0,2.0,0.0,Draw,0.4,0.8,-0.037,0.286,1.359,1.53,17.0,17.0,75800000.0,102235000.0
4098124,2024-04-04,610.0,1435.0,1.0,1.0,9031250.0,9.0,20.83983572895277,990.0,1.0,1.0,1.0,0.0,1840625.0,7.0,25.76403148528405,990.0,1.0,1.0,0.0,0.0,Draw,0.2,0.4,1.346,-0.375,2.082,1.155,25.0,20.0,248625000.0,49175000.0
4098154,2024-04-14,610.0,317.0,2.0,1.0,12000000.0,9.0,23.319130732375086,992.0,2.0,2.0,2.0,0.0,4446875.0,6.0,25.36550308008213,990.0,1.0,1.0,1.0,0.0,Home Win,0.2,0.6,1.331,0.289,2.076,1.533,10.0,11.0,248625000.0,102235000.0
4098217,2024-03-17,468.0,610.0,2.0,2.0,1540625.0,9.0,24.918548939082815,990.0,2.0,2.0,0.0,0.0,10500000.0,9.0,23.01455624001825,990.0,2.0,2.0,1.0,1.0,Draw,0.2,0.2,-0.276,1.347,1.214,2.082,15.0,3.0,58760000.0,248625000.0
4098767,2023-08-06,58.0,1096.0,1.0,0.0,6262500.0,7.0,24.586242299794662,990.0,1.0,1.0,1.0,0.0,6400000.0,8.0,24.81825233858088,990.0,0.0,0.0,1.0,0.0,Home Win,0.2,1.0,0.57,0.356,1.717,1.731,60.0,60.0,159450000.0,89300000.0
4098821,2023-11-12,157.0,58.0,1.0,1.0,6664285.714285715,6.0,26.233890681529285,990.0,1.0,1.0,1.0,0.0,6470000.0,5.0,27.008167921514943,990.0,1.0,1.0,2.0,0.0,Draw,0.8,0.8,0.47,0.586,1.635,1.732,14.0,7.0,134770000.0,159450000.0
4098864,2024-02-18,520.0,2282.0,1.0,1.0,3367857.1428571427,10.0,23.19859196245233,990.0,1.0,0.0,0.0,0.0,10913333.333333334,10.0,25.317818845539584,993.0,1.0,1.0,3.0,0.0,Draw,0.4,0.6,-0.489,0.827,1.058,1.886,14.0,14.0,85650000.0,207500000.0
4098899,2023-12-26,2282.0,3948.0,1.0,1.0,9333333.333333334,9.0,26.185352498288843,990.0,1.0,1.0,3.0,0.0,7464285.714285715,13.0,26.368240930869263,992.0,1.0,1.0,6.0,1.0,Draw,0.8,1.0,0.818,1.0,1.887,2.187,9.0,3.0,207500000.0,105375000.0
4098945,2023-10-29,968.0,3948.0,1.0,3.0,2517857.1428571427,8.0,24.96079006551286,990.0,1.0,1.0,1.0,0.0,6513333.333333333,12.0,25.83052703627652,990.0,3.0,1.0,1.0,0.0,Away Win,0.2,0.8,-0.57,1.021,1.067,2.167,22.0,21.0,80675000.0,105375000.0
4098981,2024-02-24,54189.0,2727.0,1.0,1.0,1353571.4285714286,9.0,24.14627945634106,990.0,1.0,1.0,0.0,0.0,2273333.333333333,8.0,24.56071184120465,990.0,1.0,1.0,3.0,0.0,Draw,0.0,0.4,-1.077,-0.234,0.846,1.151,13.0,14.0,23775000.0,80625000.0
4103481,2023-08-20,410.0,506.0,0.0,3.0,8312500.0,14.0,25.99247091033539,990.0,0.0,0.0,1.0,0.0,22000000.0,8.0,25.622861054072555,990.0,3.0,2.0,3.0,0.0,Away Win,0.2,0.4,-0.177,1.008,1.217,2.161,9.0,60.0,204030000.0,707185000.0
4103516,2023-09-22,1005.0,252.0,1.0,0.0,6112500.0,10.0,25.145448323066397,990.0,1.0,1.0,1.0,0.0,10962500.0,12.0,27.161875427789184,936.0,0.0,0.0,3.0,0.0,Home Win,0.6,0.4,-0.358,-0.329,1.17,1.122,19.0,19.0,109380000.0,198945000.0
4103536,2023-09-30,5.0,398.0,2.0,0.0,22843750.0,9.0,26.813141683778237,990.0,2.0,2.0,3.0,0.0,12331250.0,10.0,28.56211498973306,990.0,0.0,0.0,2.0,0.0,Home Win,0.6,0.4,0.489,0.468,1.744,1.716,7.0,14.0,567370000.0,370625000.0
4103545,2023-10-07,252.0,5.0,0.0,1.0,8586666.666666666,12.0,26.94757015742642,992.0,0.0,0.0,3.0,0.0,22593750.0,10.0,25.53576317590691,991.0,1.0,1.0,5.0,1.0,Away Win,0.2,0.6,-0.322,0.491,1.123,1.745,9.0,3.0,198945000.0,567370000.0
4103561,2023-10-23,410.0,1005.0,1.0,1.0,7366666.666666667,12.0,26.699520876112253,991.0,1.0,1.0,3.0,0.0,6343750.0,10.0,24.87217659137577,990.0,1.0,1.0,5.0,0.0,Draw,0.0,0.2,-0.191,-0.382,1.206,1.164,22.0,27.0,204030000.0,109380000.0
4103565,2023-10-29,46.0,12.0,1.0,0.0,35875000.0,9.0,28.500684462696785,990.0,1.0,1.0,3.0,0.0,9266666.666666666,11.0,27.820214464978324,990.0,0.0,0.0,4.0,0.0,Home Win,0.8,1.0,0.725,0.621,1.838,1.828,5.0,21.0,739210000.0,387920000.0
4103572,2023-11-04,800.0,46.0,1.0,2.0,20093750.0,10.0,27.719199178644764,990.0,1.0,1.0,4.0,0.0,31000000.0,10.0,29.16170431211499,990.0,2.0,2.0,1.0,0.0,Away Win,0.6,0.8,0.404,0.726,1.594,1.84,13.0,14.0,554730000.0,739210000.0
4103618,2023-12-08,506.0,6195.0,1.0,0.0,20750000.0,7.0,27.432751540041068,992.0,1.0,1.0,2.0,0.0,20968750.0,11.0,26.929158110882955,990.0,0.0,0.0,3.0,0.0,Home Win,0.8,0.2,1.007,0.889,2.165,1.969,12.0,9.0,707185000.0,395755000.0
4103624,2023-12-17,430.0,276.0,1.0,0.0,9437500.0,9.0,26.70602327173169,990.0,1.0,0.0,3.0,0.0,5343750.0,11.0,26.506160164271048,990.0,0.0,0.0,1.0,0.0,Home Win,0.6,0.0,0.373,-0.398,1.586,1.124,11.0,14.0,378060000.0,147740000.0
4103629,2023-12-16,6195.0,1390.0,2.0,1.0,20437500.0,10.0,26.80817932922656,992.0,2.0,2.0,5.0,0.0,3375000.0,7.0,26.713381245722108,990.0,1.0,1.0,3.0,0.0,Home Win,0.4,0.4,0.888,-0.438,1.967,1.113,4.0,14.0,395755000.0,117495000.0
4103645,2023-12-29,252.0,46.0,1.0,1.0,11573333.333333334,12.0,27.84083960757472,990.0,1.0,1.0,2.0,0.0,27281250.0,10.0,29.75906913073237,992.0,1.0,1.0,2.0,0.0,Draw,0.2,0.6,-0.32,0.737,1.125,1.847,14.0,12.0,198945000.0,739210000.0
